"date","avg_temp","avg_pw"
2019-02-05,-31.2,11.79
2019-02-08,-46.8,3.0425
2019-02-09,-34.9,7.4575
2019-02-11,-44.9,6.605
2019-02-15,-23.4,14.7975
2019-02-16,-40.3,6.7275
2019-02-17,-43.3,4.5675
2019-02-18,-43.3,4.0075
2019-02-19,-38.4,5.2125
2019-02-20,-45.7,3.355
2019-02-22,-34.2,8.2725
2019-02-23,-45.2,3.695
2019-02-24,-41.9,2.9725
2019-02-25,-40.9,4.73
2019-02-26,-38.8,5.59
2019-02-27,-27.9,9.2125
2019-02-28,-34.4,7.48
2019-03-02,-23.3,10.98
2019-03-04,-31.3,7.22
2019-03-05,-33.7,6.1425
2019-03-06,-27.8,8.8025
2019-03-09,-36.3,4.9325
2019-03-10,-11.2,11.61
2019-03-13,-37.9,8.11
2019-03-14,-41.9,5.0675
2019-03-15,-37.2,6.3425
2019-03-16,-29.4,10.135
2019-03-17,-35.7,7.5875
2019-03-18,-30.6,8.7225
2019-03-20,-30.5,10.665
2019-03-22,-32.6,7.0125
2019-03-23,-22.1,6.805
2019-03-26,-23.8,3.48
2019-03-27,-15.1,9.415
2019-03-28,-26.5,7.265
2019-03-29,-38.1,3.8425
2019-03-30,-37.8,5.2075
2019-04-01,-36.4,6.24
2019-04-03,-23.3,8.165
2019-04-04,-27.1,7.3875
2019-04-05,-20.7,9.015
2019-04-06,-31.1,9.3875
2019-04-07,-22.6,9.095
2019-04-08,-23.9,8.465
2019-04-09,-29.2,7.855
2019-04-10,-30.1,4.8575
2019-04-14,-31.7,4.61
2019-04-15,-15.5,5.5725
2019-04-16,-28.2,9.2725
2019-04-18,-28.6,9.4675
2019-04-19,-27.5,6.83
2019-04-20,-18.8,7.83
2019-04-21,-24.9,9.1125
2019-04-23,-24.7,13.815
2019-04-24,-22.2,13.7375
2019-04-25,-24.8,10.49
2019-04-26,-14.7,12.8825
2019-04-27,-21,10.5575
2019-04-28,-21.4,7.0775
2019-04-29,-22.2,10.1775
2019-04-30,-22.3,10.09
2019-05-01,-24.4,7.05
2019-05-02,-25.9,7.36
2019-05-03,-25.7,7.28
2019-05-04,-28.8,7.8175
2019-05-05,-25.4,7.7675
2019-05-06,-5.7,8.9825
2019-05-08,-21.9,11.72
2019-05-09,-17.5,12.325
2019-05-11,-8.8,15.72
2019-05-12,-20.1,16.145
2019-05-13,-21.3,14.675
2019-05-14,-17.35,11.39
2019-05-15,-12.4,12.6625
2019-05-18,-18.8,6.7425
2019-05-20,-7.35,9.9475
2019-05-21,-16.6,7.7025
2019-05-22,-25.7,8.0925
2019-05-23,-23.35,7.945
2019-05-24,-26.5,7.9325
2019-05-25,-24.2,9.605
2019-05-26,-15.65,9.0075
2019-05-27,-22.5,7.035
2019-05-28,-28.25,8.335
2019-05-29,-20.65,8.5575
2019-05-31,-9.85,16.2125
2019-06-01,-10.05,18.8
2019-06-02,-7.5,19.9225
2019-06-03,-2.15,17.28
2019-06-06,-13.5,16.4375
2019-06-08,-9.7,10.865
